cash_need	risk_level	all_cust	cust_n	cust_n1	others	n_unch	n1_unch	n_to_n	n1_to_n	n1_to_n1
Null	Null	363242	1387	1265	362871	29	303	16	13	10
Null	Low	83230	3581	5699	80001	1345	1612	81	139	52
Null	Mid	230953	5368	9067	228903	704	1182	72	54	38
Null	High	397859	3232	4310	396824	185	774	30	27	19
Low	Null	9629	592	885	8149	393	697	128	140	122
Low	Low	4514705	146127	181857	4216562	100017	159162	13993	16872	8099
Low	Mid	2218753	35455	44325	2154906	19483	36167	2786	3446	1965
Low	High	2071619	20774	25300	2039149	8572	20388	1144	1419	947
Mid	Null	10195	1505	1962	7315	466	939	644	401	430
Mid	Low	2724402	166281	209354	2390494	114398	168084	19108	21165	11153
Mid	Mid	1662326	62759	80959	1546755	36651	60007	6962	7553	4398
Mid	High	2944443	56794	72630	2851379	25392	53950	4914	5398	3410
High	Null	1698	475	568	1019	58	122	317	81	101
High	Low	1266032	77352	100360	1115601	51302	74216	9895	10045	4973
High	Mid	794808	39467	52169	722100	23168	36442	4982	5202	2914
High	High	2118547	57538	75867	2019655	27069	54914	6157	6627	4125
