cash_need	risk_level	loan_type	cl	os
Null	Null	DL	11983600	8238267
Null	Low	DL	5193400	3271107
Null	Mid	DL	24014000	16026728
Null	High	DL	55865100	38585789
Low	Null	DL	16500	14901
Low	Low	DL	18426000	10070451
Low	Mid	DL	9133700	6085909
Low	High	DL	8415500	6138039
Mid	Null	DL	151100	129055
Mid	Low	DL	49995500	26676998
Mid	Mid	DL	31107100	18682132
Mid	High	DL	37212300	25664076
High	Null	DL	439500	379515
High	Low	DL	206102600	128220947
High	Mid	DL	141023400	92009973
High	High	DL	181622100	128604418
Null	Null	PL	14757400	7769577
Null	Low	PL	1727400	835745
Null	Mid	PL	9135100	4001179
Null	High	PL	24106700	12625699
Low	Null	PL	29200	24877
Low	Low	PL	17457900	5990323
Low	Mid	PL	7235600	3526646
Low	High	PL	5574800	3563042
Mid	Null	PL	194500	165770
Mid	Low	PL	35343900	13095678
Mid	Mid	PL	15963300	6258536
Mid	High	PL	17543600	9399903
High	Null	PL	396600	260679
High	Low	PL	69868300	32123121
High	Mid	PL	40576600	21642371
High	High	PL	51649700	30462255
