book_date	charge_type	loan_type	cust_cnt	cl	os
bef 1 Aug	FBB	DL	19	249200	136407
1-Aug	FBB	DL	830	8635800	6555154
2-Aug	FBB	DL	2203	22699900	16248189
3-Aug	FBB	DL	154	1512700	1110920
4-Aug	FBB	DL	502	5310200	3053924
5-Aug	FBB	DL	444	3693500	1591226
bef 1 Aug	Postpaid	DL	512	8369500	4460774
1-Aug	Postpaid	DL	5722	73797800	52025828
2-Aug	Postpaid	DL	14220	181461200	119074354
3-Aug	Postpaid	DL	933	12312500	8459232
4-Aug	Postpaid	DL	3274	44479500	22963082
5-Aug	Postpaid	DL	3850	34881400	12215652
bef 1 Aug	Prepaid	DL	110	1008500	482151
1-Aug	Prepaid	DL	5630	34110300	26130318
2-Aug	Prepaid	DL	15759	91515700	65578262
3-Aug	Prepaid	DL	973	6286900	4611637
4-Aug	Prepaid	DL	3397	21080200	12562414
5-Aug	Prepaid	DL	5228	23777800	10506394
bef 1 Aug	FBB	PL	8	687400	392234
1-Aug	FBB	PL	33	1132500	699795
2-Aug	FBB	PL	87	2055900	1210055
3-Aug	FBB	PL	9	483500	322039
4-Aug	FBB	PL	22	1133200	797760
5-Aug	FBB	PL	234	10084900	4671595
bef 1 Aug	Postpaid	PL	45	6038900	1677047
1-Aug	Postpaid	PL	159	4334200	3107189
2-Aug	Postpaid	PL	369	11809300	6807854
3-Aug	Postpaid	PL	24	1076500	717866
4-Aug	Postpaid	PL	129	6926700	2658434
5-Aug	Postpaid	PL	1673	76526900	28830128
bef 1 Aug	Prepaid	PL	14	469700	227690
1-Aug	Prepaid	PL	206	3807000	2767110
2-Aug	Prepaid	PL	703	15516300	11084011
3-Aug	Prepaid	PL	57	1728500	1136061
4-Aug	Prepaid	PL	220	6899900	4028159
5-Aug	Prepaid	PL	2348	75587100	37371732
