book_date	nano_f	loan_type	cust_cnt	cl	os
bef 1 Aug	N	DL	232	3564300	1713800
1-Aug	N	DL	4271	35596100	26497770
2-Aug	N	DL	12146	98295300	68449891
3-Aug	N	DL	755	6482200	4672585
4-Aug	N	DL	2825	24085100	13699164
5-Aug	N	DL	4133	24097100	10328134
bef 1 Aug	Y	DL	409	6062900	3365532
1-Aug	Y	DL	7911	80947800	58213530
2-Aug	Y	DL	20036	197381500	132450914
3-Aug	Y	DL	1305	13629900	9509204
4-Aug	Y	DL	4348	46784800	24880256
5-Aug	Y	DL	5389	38255600	13985138
bef 1 Aug	N	PL	31	4046900	1340867
1-Aug	N	PL	151	3305800	2265517
2-Aug	N	PL	522	12293200	8248303
3-Aug	N	PL	36	1213600	883915
4-Aug	N	PL	166	6548100	3332891
5-Aug	N	PL	2026	78133200	34771529
bef 1 Aug	Y	PL	36	3149100	956104
1-Aug	Y	PL	247	5967900	4308577
2-Aug	Y	PL	637	17088300	10853617
3-Aug	Y	PL	54	2074900	1292051
4-Aug	Y	PL	205	8411700	4151462
5-Aug	Y	PL	2229	84065700	36101926
