book_date	tenure	loan_type	cust_cnt	cl	os
bef 1 Aug	0-1	DL	24	294300	147694
1-Aug	0-1	DL	1406	10989100	8394662
2-Aug	0-1	DL	3685	27746100	19972246
3-Aug	0-1	DL	224	1703800	1282482
4-Aug	0-1	DL	754	6143900	3662615
5-Aug	0-1	DL	936	4903000	2229307
bef 1 Aug	2-4	DL	93	1105000	586260
1-Aug	2-4	DL	2744	23170800	17218164
2-Aug	2-4	DL	7476	59133400	41900780
3-Aug	2-4	DL	468	4103500	2884710
4-Aug	2-4	DL	1639	14243700	8361181
5-Aug	2-4	DL	2030	11682500	4802102
bef 1 Aug	>=5	DL	524	8227900	4345378
1-Aug	>=5	DL	8032	82384000	59098474
2-Aug	>=5	DL	21021	208797300	139027779
3-Aug	>=5	DL	1368	14304800	10014597
4-Aug	>=5	DL	4780	50482300	26555624
5-Aug	>=5	DL	6556	45767200	17281863
bef 1 Aug	0-1	PL	7	519900	379567
1-Aug	0-1	PL	49	695100	500961
2-Aug	0-1	PL	180	3984900	2735355
3-Aug	0-1	PL	11	403500	331913
4-Aug	0-1	PL	35	1044300	504223
5-Aug	0-1	PL	404	13653400	7082546
bef 1 Aug	2-4	PL	11	816500	204584
1-Aug	2-4	PL	110	2266800	1696319
2-Aug	2-4	PL	284	6081200	4260627
3-Aug	2-4	PL	28	717100	557609
4-Aug	2-4	PL	73	2519900	1501078
5-Aug	2-4	PL	988	34795400	15779602
bef 1 Aug	>=5	PL	49	5859600	1712820
1-Aug	>=5	PL	239	6311800	4376814
2-Aug	>=5	PL	695	19315400	12105938
3-Aug	>=5	PL	51	2167900	1286444
4-Aug	>=5	PL	263	11395600	5479052
5-Aug	>=5	PL	2863	113750100	48011307
