book_date	true_f	loan_type	cust_cnt	cl	os
bef 1 Aug	N	DL	114	1409600	703026
1-Aug	N	DL	3618	29172100	21910280
2-Aug	N	DL	10249	80685800	57662508
3-Aug	N	DL	633	5351100	3829251
4-Aug	N	DL	2334	19149900	11052852
5-Aug	N	DL	3115	17758600	7689769
bef 1 Aug	Y	DL	527	8217600	4376306
1-Aug	Y	DL	8564	87371800	62801020
2-Aug	Y	DL	21933	214991000	143238297
3-Aug	Y	DL	1427	14761000	10352538
4-Aug	Y	DL	4839	51720000	27526568
5-Aug	Y	DL	6407	44594100	16623503
bef 1 Aug	N	PL	14	1040500	550376
1-Aug	N	PL	121	3025700	2124876
2-Aug	N	PL	401	9374100	6867826
3-Aug	N	PL	41	1409900	861946
4-Aug	N	PL	130	5046300	2989981
5-Aug	N	PL	1490	54715800	26227070
bef 1 Aug	Y	PL	53	6155500	1746595
1-Aug	Y	PL	277	6248000	4449218
2-Aug	Y	PL	758	20007400	12234094
3-Aug	Y	PL	49	1878600	1314020
4-Aug	Y	PL	241	9913500	4494372
5-Aug	Y	PL	2765	107483100	44646385
